Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
1,17,5,171,1,1,-0.8048412577874374,1,19,12,5,9,0.022228767979372222,1,0,0,1,1,0,20,0,0,0,0,0,-2.1971023927998017,0,0,0,0,0,-1.963488622985818,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,0
1,15,1,9254,1,1,2.0768193183416446,1,1,3,3,3,1.0719261394817379,1,0,0,0,1,0,19,0,0,6,6,6,0.6935986007230148,0,0,6,6,6,0.6595617086953638,0,0.8762220667652447,-1.1052215545807416,0.347199421388147,2
1,1,5,9070,1,1,-0.8048412577874374,1,37,37,9,9,-0.15041882601772735,1,0,0,0,1,0,19,0,0,6,0,0,-2.1971023927998017,0,0,6,0,0,-1.963488622985818,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,0
1,17,2,9773,1,1,-0.8048412577874374,1,38,37,5,3,-0.5095258215316947,1,0,0,1,0,0,20,0,0,6,8,6,0.5756108050690224,0,0,6,10,5,0.4164497267346691,0,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,2
2,39,1,8014,0,1,-2.473171065020064,1,37,38,9,9,1.002867101882898,0,0,0,1,0,0,45,0,0,6,9,5,0.3494675300655368,0,0,6,6,6,0.5316080339792087,0,0.8762220667652447,-1.1052215545807416,0.347199421388147,2
2,39,1,9991,0,19,0.03690696313447821,1,37,37,9,7,-0.8410092020061256,0,0,1,1,1,0,50,0,0,5,10,5,0.25114436702054305,0,0,5,17,5,0.2437122658678595,5,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,2
1,1,1,9500,1,1,0.7118222033331321,1,19,38,7,10,0.09819370933809662,1,0,0,1,0,1,18,0,0,7,9,7,0.5490635510468742,0,0,8,8,8,0.789754572719052,0,1.476924272807967,1.1370048489905784,-1.7896667428492534,2
1,18,4,9254,1,1,-1.0323407769555228,1,37,37,9,9,-0.9584095659241536,1,0,0,0,1,0,22,0,0,5,5,0,-2.1971023927998017,0,0,5,5,0,-1.963488622985818,0,1.476924272807967,1.1370048489905784,-1.7896667428492534,0
1,1,3,9238,1,1,0.33265633805298966,62,1,1,9,9,0.16034684317705286,0,0,0,1,0,1,21,1,0,6,8,6,0.667788770423704,0,0,6,7,6,0.7509571906354747,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,2
1,1,1,9238,1,1,0.40848951110901816,1,1,19,4,7,-0.27472509369563886,1,0,1,0,0,0,18,0,0,6,9,5,0.15675413049734901,0,0,6,14,2,0.6275732900163251,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,0
1,1,1,9670,1,1,0.48432268416504665,1,38,19,5,7,0.25012359205554346,1,0,0,1,0,0,18,0,0,6,6,6,0.3494675300655368,0,0,6,7,5,0.761924648468288,0,0.8762220667652447,-1.1052215545807416,0.347199421388147,2
1,1,1,9500,1,1,0.25682316499696123,1,19,38,9,9,-0.5302435328113464,1,0,0,1,0,1,18,0,0,8,8,7,0.531365381698775,0,0,8,8,7,0.5727360008522585,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,2
1,1,2,9853,1,1,0.02932364582887579,1,19,37,4,9,0.22249997701600713,1,0,0,1,0,0,19,0,0,6,6,0,-2.1971023927998017,0,0,6,0,0,-1.963488622985818,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,0
1,53,1,9254,1,42,-1.714839334459779,1,1,1,4,7,-1.0481863148026451,1,0,0,1,0,1,21,0,0,6,7,6,-0.014328173200940228,0,0,6,8,5,0.1477470098307431,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,2
1,1,1,9085,1,1,1.2426544147253313,1,38,37,5,5,0.6990073364480024,1,0,0,1,0,1,18,0,0,5,7,4,0.5387396189271497,0,0,5,5,5,0.3396775219049759,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,2
1,1,1,9773,1,1,-0.425675392507295,1,19,37,9,3,-0.4335608801729703,1,0,0,1,0,0,20,0,0,6,6,5,0.5284156868074252,0,0,6,7,0,-1.963488622985818,0,1.476924272807967,1.1370048489905784,-1.7896667428492534,0
1,18,1,9238,1,1,0.33265633805298966,1,19,38,5,8,0.7197250477276551,1,0,0,1,0,0,18,0,0,6,10,1,0.28064131593404107,0,0,6,14,2,0.1477470098307431,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,1
1,17,2,9500,1,1,0.18098999194093274,1,19,1,5,4,0.022228767979372222,1,0,0,1,0,0,18,0,0,7,8,7,0.5503540425618396,0,0,8,8,8,0.8281406751338984,0,1.476924272807967,1.1370048489905784,-1.7896667428492534,2
1,1,1,9130,1,1,0.33265633805298966,1,3,19,3,5,0.6437601063689317,1,0,0,1,0,0,20,0,0,5,8,4,0.3838806371312845,1,0,5,8,4,0.3876601499235341,2,-0.2876384574425296,0.12438647318417584,0.7657608350016585,2
1,1,1,9853,1,1,0.5601558572210751,1,19,19,7,7,-0.1642306335374955,1,0,0,1,0,0,18,0,0,7,7,6,0.21181510180254534,0,0,7,8,6,0.6275732900163251,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,1
1,1,3,171,1,1,-0.8048412577874374,1,1,1,9,8,-0.4611844952125066,0,0,0,1,0,1,21,0,0,0,0,0,-2.1971023927998017,0,0,0,0,0,-1.963488622985818,0,-0.17500679380951956,-0.454252598705197,0.8891263042772198,2
1,18,4,9556,1,1,-0.425675392507295,1,1,38,4,7,-0.35759593881424684,1,0,0,1,0,0,20,0,0,7,14,7,0.16449707958714221,0,0,8,9,8,0.22931747746229217,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,1
1,1,4,9500,1,1,0.7118222033331321,1,19,19,1,1,-0.10207749969853928,1,0,0,1,0,0,18,0,0,8,12,7,0.4576230094150299,0,0,8,12,7,0.5041893893971755,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,2
1,1,4,9670,1,1,-0.577341738619352,1,1,38,4,7,-0.8341032982462411,1,0,0,1,0,1,19,0,0,6,8,6,0.5645494492264606,0,0,6,7,6,0.39451481106904257,0,-0.17500679380951956,-0.454252598705197,0.8891263042772198,2
1,1,1,9500,1,1,-0.5015085655633235,1,19,19,3,7,-0.21257195985668262,0,0,0,1,0,0,19,0,0,7,8,6,0.5483752889055594,0,0,8,9,7,0.745473461719068,0,-0.17500679380951956,-0.454252598705197,0.8891263042772198,2
1,1,1,9238,1,1,1.3943207608373882,1,19,38,9,9,2.073282184664915,1,0,1,1,0,1,18,0,0,6,8,5,0.19804985897624625,0,0,6,12,4,0.1477470098307431,0,-1.4890428695279747,0.9923450810182353,0.14012166938988344,1
1,17,2,9238,1,1,-1.3356734691796368,1,19,38,7,8,-0.7305147418479814,1,0,0,1,0,0,21,0,0,6,9,6,0.15159216443748677,0,0,6,9,6,0.5864453231432754,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,2
1,1,1,9085,1,1,0.40848951110901816,1,19,19,3,3,0.2777472070950798,1,0,0,1,0,0,18,0,0,5,9,5,0.4182937441970322,2,0,5,7,4,0.5316080339792087,0,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,1
1,1,1,9147,1,1,0.18098999194093274,1,19,1,9,9,-0.33687822753459506,1,0,0,1,0,0,20,0,0,5,6,5,0.28064131593404107,0,0,5,6,5,0.4036543592630536,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,2
1,17,2,9500,1,1,-0.425675392507295,1,3,3,1,10,-0.5647730516107663,1,0,0,1,1,0,19,0,0,7,9,6,0.4733547155022285,0,0,7,7,6,0.669158234299076,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,1
1,44,1,9003,1,39,1.3184875877813598,1,4,5,4,2,1.5898689214730366,0,0,0,1,1,0,21,0,0,6,15,5,0.25114436702054305,0,0,6,17,5,0.06549107608464326,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,1
1,51,1,9070,1,1,-0.577341738619352,1,42,3,125,124,0.20868816949623997,1,0,0,1,1,0,20,0,2,6,7,6,0.45270685126278026,0,0,6,9,4,0.6083802388089019,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,2
1,1,1,9147,1,1,0.7876553763891605,1,1,1,4,6,0.8164077003660313,0,0,0,0,1,0,18,0,0,5,9,3,0.14298888767104995,0,0,5,8,2,0.6275732900163251,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,1
1,18,1,8014,0,1,0.40848951110901816,1,19,1,9,5,0.5194538386910192,1,0,0,1,0,0,19,0,0,6,6,6,0.4182937441970322,0,0,6,8,6,0.7955124880812788,0,0.3130637486001926,-0.5265824826913685,0.7877903830865802,2
1,1,1,9991,0,1,-0.19817587333920963,1,2,37,3,9,0.30537082213461614,0,0,0,1,1,0,34,0,0,5,6,5,0.3632327728918359,0,0,5,9,5,0.6138639677253085,0,0.8762220667652447,-1.1052215545807416,0.347199421388147,2
1,39,1,33,1,1,-0.19817587333920963,1,38,37,9,6,-1.6904353644718553,0,0,1,0,1,0,37,0,0,7,7,0,-2.1971023927998017,0,0,7,7,1,-0.04418350224348972,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,0
